rho,trial,avg_snr,avg_ssim,std_snr,std_ssim
1,1,16.885036,0.6921787553404315,0.9409138,0.028481167513202423
1,2,16.458652,0.6796762412989812,1.2029979,0.04595316358072738
1,3,16.623283,0.6820813028486364,1.2442843,0.05949165454280849
1,4,16.197208,0.6681904088439914,1.1851867,0.043578381179948306
1,5,16.784847,0.6914981477008053,1.2278464,0.057811895193856135
5,1,16.640205,0.6829696777831312,1.3878824,0.05547313806785349
5,2,16.91598,0.6963965451610756,1.3818375,0.054015487226616
5,3,16.652437,0.6838860264311325,0.97811013,0.04221824926599471
5,4,16.963558,0.6976359519017468,1.2375462,0.047946631339687525
5,5,16.718273,0.6868773976134331,1.0031426,0.046455303474131605
10,1,16.63313,0.6860773873622956,1.4531281,0.05442457337412373
10,2,17.24646,0.7058040281100149,1.1543058,0.05148729737908136
10,3,17.044651,0.6977616596128513,1.1850979,0.038959928955533775
10,4,16.557571,0.6847373223074429,1.309221,0.05425236490559234
10,5,16.597649,0.6885325749704689,1.3730005,0.05091464790204219
15,1,16.946613,0.696993232774783,1.2887807,0.054069884763233586
15,2,16.683691,0.6898918519149945,1.0895993,0.052335263337734195
15,3,16.877266,0.6974391461747613,0.88098556,0.048780608878039346
15,4,16.8922,0.6894785540514076,1.3236816,0.05993996809103771
15,5,16.757168,0.6917212397402513,0.90451527,0.045478112871627605
20,1,16.833416,0.6926460002941094,0.953265,0.04321851705537706
20,2,17.315517,0.7068924082233983,1.2060729,0.04707499336473525
20,3,17.100086,0.7000564119923547,1.2938489,0.03517087413414243
20,4,17.181528,0.7024328328482448,1.5870686,0.06185766592526208
20,5,16.651636,0.6848257300567026,1.003564,0.049474604063270304
25,1,16.718082,0.6835434737998651,1.1442162,0.056592261752328205
25,2,17.059565,0.6980585841946243,0.9361821,0.04777373779813014
25,3,16.640764,0.6856325104216366,1.3091941,0.047125738555152785
25,4,17.290155,0.7029041402363916,1.1036226,0.04534669521085486
25,5,16.746231,0.6894719512807956,1.4383141,0.047702082984817734
30,1,16.750834,0.6895851081660642,1.1003371,0.03778420196915126
30,2,16.94277,0.6959998124538274,1.1160507,0.04654899422062644
30,3,16.866297,0.6931038741660343,1.4107481,0.06000753378812469
30,4,16.756777,0.6863302433414677,1.3012631,0.057738087868209546
30,5,17.1899,0.7045048141642488,1.4091119,0.04409537942087477
35,1,17.05698,0.695607818136679,0.89197785,0.053128737772943406
35,2,16.833548,0.6895935059489172,1.3976126,0.05832993525996463
35,3,16.473484,0.6750758645669495,1.2358044,0.06632693581753912
35,4,17.106152,0.698095627957273,1.0912182,0.05053312743001316
35,5,16.85225,0.6886196147796071,0.89696354,0.05252312283730118
40,1,17.05437,0.6989437843081681,1.3016781,0.04990340544090927
40,2,16.78815,0.688114082335099,0.881072,0.05128969947840155
40,3,16.89793,0.6923355371107591,1.2092788,0.05214871219172969
40,4,16.863441,0.6884802177720537,1.1253928,0.05093013264294514
40,5,16.577732,0.677449598988874,1.1017654,0.04800107720892434
45,1,16.713072,0.6850932997736205,1.267127,0.0510424057945232
45,2,16.991577,0.6921488490726031,0.95377225,0.04762685614013015
45,3,16.8009,0.6881699407639055,1.1643772,0.04916136541597393
45,4,16.881065,0.691778459755671,1.0751226,0.05472075498244275
45,5,17.002035,0.6890032463639708,1.2396722,0.053280129767130154
50,1,16.478655,0.6771441238312926,1.0325253,0.06082226938265131
50,2,16.952196,0.6899466467770913,0.9677444,0.04863825897088856
50,3,17.306662,0.7038401500953395,1.0870504,0.053239830101720585
50,4,16.95101,0.6902858465993505,1.0875928,0.04563951773003458
50,5,16.760834,0.6856480174763414,1.0934491,0.04336631374853495
55,1,16.926197,0.6924477367717368,1.0893601,0.06014602921730622
55,2,16.68019,0.6857995987256894,1.3732991,0.044782423729172016
55,3,16.919256,0.6960963897543082,1.1984199,0.043173494304844795
55,4,16.621157,0.6830007863233456,1.1759489,0.05052216897142956
55,5,16.378475,0.6735831119370829,0.9613026,0.05230034441629389
60,1,16.849545,0.6872785517876151,0.99271655,0.0493643042826169
60,2,16.794577,0.6855604293439923,1.055008,0.052349721935196825
60,3,16.345032,0.6716761710724416,1.1001871,0.05609482083422521
60,4,16.605757,0.6807775538708982,1.1707253,0.05222302214743111
60,5,17.047266,0.6965562628507632,1.2290552,0.047315452100258296
65,1,16.668484,0.6868339216012143,1.2288367,0.04815201294226124
65,2,16.360477,0.67732838319056,1.2223921,0.05685645514289445
65,3,16.719284,0.6822377651508014,0.9724372,0.051997294708425054
65,4,16.796959,0.6902295619781581,1.4586922,0.05844878920487591
65,5,16.813145,0.6911322230902985,1.4846089,0.0526083146813891
70,1,16.58189,0.6802285285176284,0.8951585,0.05229349496924833
70,2,16.948753,0.6943020868730578,1.1292335,0.054739065713483526
70,3,16.78741,0.6877074568182306,0.96356726,0.043322996222308646
70,4,16.581762,0.680027747988457,1.11419,0.055453443204789864
70,5,16.854042,0.6948557418703125,1.4242882,0.047288009881410686
75,1,16.674679,0.6835363085028685,1.0303925,0.055800554285303096
75,2,16.64911,0.6835378777115559,1.238053,0.0630630310695978
75,3,16.818579,0.68824451094336,1.0677171,0.04773334570537438
75,4,16.765913,0.6865112620804342,0.9573978,0.048164913851292374
75,5,16.848904,0.6906319840613925,1.0338753,0.04398578102712574
80,1,16.767109,0.6833822353263108,1.0808321,0.057795476221276613
80,2,16.616844,0.6817309224146106,1.0822729,0.056076077230603205
80,3,16.674923,0.6823800588447186,0.96570957,0.05967068484822554
80,4,16.462238,0.6770878092795659,0.7393906,0.048637443379508496
80,5,16.822254,0.6915625445272772,1.2278515,0.04787251097054991
85,1,16.484865,0.6804108654194613,1.1143696,0.053217176702119534
85,2,16.513548,0.6802581606969649,1.0711505,0.057089286516605005
85,3,16.526386,0.6779981200278011,0.96929985,0.05521543511177824
85,4,16.47994,0.6808243914532387,1.2199641,0.05051703376295434
85,5,16.644283,0.6830279895619584,1.1578941,0.055346336208762885
90,1,16.794731,0.6852507856969943,1.0913053,0.0571628984699209
90,2,16.544836,0.6779004702603786,1.2768835,0.06314233021609164
90,3,16.797413,0.6892905759262771,1.3662343,0.054929109170159605
90,4,16.809126,0.6853558908515718,1.3295817,0.06321309463133125
90,5,16.339754,0.6721031143710674,1.1308291,0.058818875812870985
95,1,16.775646,0.6927420224910332,1.2416564,0.04962038342195622
95,2,16.762505,0.6889746099535895,1.1413032,0.045564146137932214
95,3,16.703953,0.6867114259985936,0.9998947,0.053523640333834104
95,4,16.461966,0.6827422907100087,1.236205,0.048516967056890785
95,5,16.803455,0.6879856679237173,1.035673,0.0562967398000385
